Posicion,Equipo,PJ,Porcentaje_Victorias,GF,GC,DG,Puntos,Fuente,Competicion,PPG,GF_Por_Partido,GC_Por_Partido,DG_Por_Partido,Es_Recreativo,Zona_Clasificacion,Nivel_Ofensivo,Nivel_Defensivo
1,Club Deportiva Minera,34,56%,50,33,17,63,FootyStats,Segunda División RFEF Group 4,1.85,1.47,0.97,0.5,No,Zona alta / Playoff,Ataque medio,Defensa media
2,CD Extremadura 1924,34,50%,54,38,16,63,FootyStats,Segunda División RFEF Group 4,1.85,1.59,1.12,0.47,No,Zona alta / Playoff,Ataque alto,Defensa media
3,Aguilas FC,34,53%,44,25,19,61,FootyStats,Segunda División RFEF Group 4,1.79,1.29,0.74,0.56,No,Zona alta / Playoff,Ataque medio,Defensa fuerte
4,Xerez CD,34,50%,32,24,8,59,FootyStats,Segunda División RFEF Group 4,1.74,0.94,0.71,0.24,No,Zona alta / Playoff,Ataque bajo,Defensa fuerte
5,Real Jaen CF,34,47%,43,33,10,58,FootyStats,Segunda División RFEF Group 4,1.71,1.26,0.97,0.29,No,Zona alta / Playoff,Ataque medio,Defensa media
6,Universidad Catolica de Murcia CF,34,47%,49,41,8,55,FootyStats,Segunda División RFEF Group 4,1.62,1.44,1.21,0.24,No,Zona media-alta,Ataque medio,Defensa media
7,Real Club Recreativo de Huelva,33,45%,40,25,15,54,FootyStats,Segunda División RFEF Group 4,1.64,1.21,0.76,0.45,Sí,Zona media-alta,Ataque medio,Defensa fuerte
8,Linares Deportivo,34,32%,42,45,-3,47,FootyStats,Segunda División RFEF Group 4,1.38,1.24,1.32,-0.09,No,Zona media-alta,Ataque medio,Defensa débil
9,FC La Union Atletico,34,38%,44,42,2,45,FootyStats,Segunda División RFEF Group 4,1.32,1.29,1.24,0.06,No,Zona media-alta,Ataque medio,Defensa media
10,Yeclano Deportivo,34,35%,33,33,0,44,FootyStats,Segunda División RFEF Group 4,1.29,0.97,0.97,0,No,Zona media-alta,Ataque bajo,Defensa media
11,CA Antoniano,34,35%,38,40,-2,44,FootyStats,Segunda División RFEF Group 4,1.29,1.12,1.18,-0.06,No,Zona media-baja,Ataque medio,Defensa media
12,Union Estepona CF,34,35%,40,44,-4,44,FootyStats,Segunda División RFEF Group 4,1.29,1.18,1.29,-0.12,No,Zona media-baja,Ataque medio,Defensa débil
13,CF Lorca Deportiva,33,33%,31,36,-5,42,FootyStats,Segunda División RFEF Group 4,1.27,0.94,1.09,-0.15,No,Zona media-baja,Ataque bajo,Defensa media
14,CD AD San Fermin Salerm Cosmetic Puente Genil FC,33,30%,28,36,-8,40,FootyStats,Segunda División RFEF Group 4,1.21,0.85,1.09,-0.24,No,Zona media-baja,Ataque bajo,Defensa media
15,Xerez Deportivo FC,34,24%,34,43,-9,36,FootyStats,Segunda División RFEF Group 4,1.06,1,1.26,-0.26,No,Zona baja,Ataque bajo,Defensa débil
16,UD Melilla,34,21%,36,40,-4,34,FootyStats,Segunda División RFEF Group 4,1,1.06,1.18,-0.12,No,Zona baja,Ataque bajo,Defensa media
17,UD Almeria II,34,12%,26,53,-27,21,FootyStats,Segunda División RFEF Group 4,0.62,0.76,1.56,-0.79,No,Zona baja,Ataque bajo,Defensa débil
18,Atletico Malagueno,33,15%,32,65,-33,21,FootyStats,Segunda División RFEF Group 4,0.64,0.97,1.97,-1,No,Zona baja,Ataque bajo,Defensa débil